,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
340,"KOT, MARK",6085,27,18,36,25
341,"SMITH, ANTONY",NA,NA,NA,NA,NA
342,"PAUZAUSKIE, PETER",5159,24,21,33,30
343,"TURNBLOM, ERIC",NA,NA,NA,NA,NA
344,"ROY CHOWDHURY, SOHINI",336,8,8,8,8
345,"BONUS, ENRIQUE",NA,NA,NA,NA,NA
346,"CHEN, YEN-WEI",NA,NA,NA,NA,NA
347,"ETTL, GREGORY",NA,NA,NA,NA,NA
348,"BRUNTON, BINGNI",816,11,11,13,12
349,"HULLMAN, JESSICA",548,11,11,11,11
350,"SNYDER, JAIME",170,7,6,5,4
351,"BURA, RENATA",3218,18,18,21,19
352,"ROBERTS, STEVEN",2036,25,20,44,36
353,"SMALLWOOD, STEPHANIE",NA,NA,NA,NA,NA
354,"STARBIRD, CATHARINE",NA,NA,NA,NA,NA
355,"MOTLEY, MICHAEL",563,13,11,18,14
356,"YEATMAN, JASON",3375,21,20,31,31
357,"NOVETZKE, CHRISTIAN",NA,NA,NA,NA,NA
358,"PAREDEZ, ALEXANDER",3263,12,12,12,12
359,"KIM, SOO-HYUNG",1846,23,17,33,29
360,"LEVESQUE, EMILY",NA,NA,NA,NA,NA
361,"PENG, YANG",463,9,8,9,7
362,"GRIGGS, JAMES",NA,NA,NA,NA,NA
363,"DILLON, BRIAN",164,5,5,3,3
364,"VILLEN, JUDIT",18594,44,39,60,58
365,"STEVENS, KELLY",1874,13,11,15,12
366,"MUNSON, SEAN",2114,24,23,39,35
367,"LEE, KELLY",NA,NA,NA,NA,NA
368,"COOK, JOSEPH",500,12,10,15,11
369,"PEPPER, MARION",3135,24,22,29,28
370,"SAVAN, RAM",NA,NA,NA,NA,NA
371,"FRANCETICH, ALEJANDRO",NA,NA,NA,NA,NA
372,"GIMBEL-SHERR, SARAH",NA,NA,NA,NA,NA
373,"BAN, XUEGANG",2969,23,21,49,41
374,"PIANKO, NOAM",110,6,5,2,2
375,"HAGUE, CHRIS",NA,NA,NA,NA,NA
376,"INOUE, ASAO",NA,NA,NA,NA,NA
377,"KOSACK, STEPHEN",NA,NA,NA,NA,NA
378,"GHOFRANI, MAHMOUD",774,13,13,15,15
379,"KOLODZIEJ, EDWARD",1150,14,14,16,15
380,"NELSON, ALSHAKIM",3109,30,25,52,43
381,"OBERST, ANDREW",NA,NA,NA,NA,NA
382,"TENG, FANGZHEN",3744,36,34,60,58
383,"CHAN, KWUN",874,14,14,18,18
384,"WOODWARD, JOSHUA",1922,20,17,25,25
385,"DENNISON, JEAN",NA,NA,NA,NA,NA
386,"LEE, JAMES",22788,42,29,803,195
387,"YOU, SETTHIVOINE",476,10,7,10,5
388,"ABDEL AZIZ, AHMED",571,7,7,7,3
389,"HSIEH, GARY",1637,18,16,26,21
390,"KAMINSKY, JESSICA",83,5,5,3,3
391,"MCQUINN, MATTHEW",NA,NA,NA,NA,NA
392,"DEVINE, EMILY",NA,NA,NA,NA,NA
393,"SAEED, SAMAH",NA,NA,NA,NA,NA
394,"GARCIA, MARIA",NA,NA,NA,NA,NA
395,"WALKER, AMY",NA,NA,NA,NA,NA
396,"MORALES, MIGUEL",5911,38,34,98,86
397,"CHATTERJEE, CHAMPAK",NA,NA,NA,NA,NA
398,"HOLTGRIEVE, GORDON",1165,18,17,21,21
399,"PAUN, DOROTHY",NA,NA,NA,NA,NA
400,"PRESLAND, RICHARD",4392,32,19,44,33
401,"VIRAY, BIANCA",NA,NA,NA,NA,NA
402,"MCCOY, KATRYNA",NA,NA,NA,NA,NA
403,"PAL, SOUMIK",598,14,13,18,17
404,"BAKKER, JONATHAN",3253,31,28,50,47
405,"CARLYLE, ALLYSON",392,10,5,11,1
406,"TARICANI, JOANN",NA,NA,NA,NA,NA
407,"STOLL, STEFAN",NA,NA,NA,NA,NA
408,"BEAUDOIN, KATHLEEN",NA,NA,NA,NA,NA
409,"BARRINGTON, WENDY",NA,NA,NA,NA,NA
410,"KOZUKI, YORIKO",NA,NA,NA,NA,NA
411,"DRUSVYATSKIY, DMITRIY",458,12,12,14,14
412,"OLDEN, JULIAN",19584,69,56,172,161
413,"WEST, ELIZABETH",270,7,7,7,7
414,"KRUG, ANITA",NA,NA,NA,NA,NA
415,"TOTH, SANDOR",NA,NA,NA,NA,NA
416,"SULLIVAN, JANE",NA,NA,NA,NA,NA
417,"GARDNER, RICHARD",4500,26,16,56,25
418,"EAGEN, MEGHAN",22,2,2,1,1
419,"BUCKLEY, LAUREN",5371,31,30,52,49
420,"RUDELL, JACQUES",1972,14,11,20,13
421,"STOCCO, ANDREA",1097,16,14,18,15
422,"TRAXLER, BETH",NA,NA,NA,NA,NA
423,"WINKLER, MARIKAROLIINA",NA,NA,NA,NA,NA
424,"SALVIATO, MARCO",537,12,11,15,13
425,"WINN, MATTHEW",NA,NA,NA,NA,NA
426,"BEANE, SILAS",6541,52,29,88,57
427,"FU, KAI-MEI",2723,24,21,38,34
428,"KURU, SELIM",NA,NA,NA,NA,NA
429,"LEE, CHARLOTTE",1531,18,17,26,25
430,"WERTH, BRIAN",446,13,13,15,15
431,"WALSH, ELAINE",NA,NA,NA,NA,NA
432,"HSU, SHIH-CHIEH",NA,NA,NA,NA,NA
433,"DOSSICK, CARRIE",1016,15,14,19,17
434,"NARANJO, JASON",NA,NA,NA,NA,NA
435,"WANG, JUNLAN",NA,NA,NA,NA,NA
436,"BANERJEE, ASHIS",1132,14,14,17,16
437,"ZHENG, YING",1392,19,16,28,25
438,"ASAH, STANLEY",896,13,12,14,14
439,"BLACK, DOUGLAS",NA,NA,NA,NA,NA
440,"FULLER, SAWYER",1751,14,11,16,12
441,"HILLYARD, CINNAMON",257,8,8,8,5
442,"SADAK, TATIANA",NA,NA,NA,NA,NA
443,"KIM, DAEHYUN",2186,26,24,43,41
444,"TSAO, ANDREW",NA,NA,NA,NA,NA
445,"VAUGHAN, JOSHUA",NA,NA,NA,NA,NA
446,"MOORE, MEGAN",110,7,6,5,5
447,"LIU, QINGHANG",NA,NA,NA,NA,NA
448,"KIM, AMY",42,4,4,2,1
449,"COLLINS, STEVEN",NA,NA,NA,NA,NA
450,"GOMEZ, RICARDO",1636,23,16,35,25
451,"CHEN, QIUZI",NA,NA,NA,NA,NA
452,"PAPARELLA, PIETRO",43,4,4,1,1
453,"PATTERSON, MARK",NA,NA,NA,NA,NA
454,"KUNZ, WILLIAM",NA,NA,NA,NA,NA
455,"KIM, WOOYOUNG",NA,NA,NA,NA,NA
456,"CAO, HUNG",592,12,12,16,14
457,"DETWILER, JASON",NA,NA,NA,NA,NA
458,"WIEBE, RICHARD",NA,NA,NA,NA,NA
459,"WITHERS, SUZANNE",NA,NA,NA,NA,NA
460,"ZALATAN, JESSE",NA,NA,NA,NA,NA
461,"BUTMAN, DAVID",1883,17,16,19,19
462,"GARDNER, TREVOR",NA,NA,NA,NA,NA
463,"GERNER, MICHAEL",NA,NA,NA,NA,NA
464,"WILLS, ANDREA",NA,NA,NA,NA,NA
465,"DISTILIO, VERONICA",1665,19,14,23,19
466,"ISHIMARU, ANN",NA,NA,NA,NA,NA
467,"GU, LIANGCAI",979,17,15,17,16
468,"RENIERE, MICHELLE",NA,NA,NA,NA,NA
469,"TSAI, JENNY",NA,NA,NA,NA,NA
470,"RAO, ANUP",1482,19,17,26,19
471,"THOMPSON, RIKI",162,5,5,4,4
472,"BRIDGE, JOHN",NA,NA,NA,NA,NA
473,"CHAPMAN, RACHEL",NA,NA,NA,NA,NA
474,"LAING, SHARON",220,9,8,9,7
475,"KANTROWITZ-GORDON, IRA",618,7,7,5,5
476,"KRUZICH, JEAN",NA,NA,NA,NA,NA
477,"BUSH, MATTHEW",3554,33,24,44,40
478,"REYES, DAVID",NA,NA,NA,NA,NA
479,"SHANKAR, S",540,8,8,8,8
480,"BECKER, BONNIE",609,8,8,8,8
481,"COSSAIRT, BRANDI",NA,NA,NA,NA,NA
482,"BLUMENSTOCK, JOSHUA",NA,NA,NA,NA,NA
483,"TURNER, JACK",NA,NA,NA,NA,NA
484,"HOPPINS, SUZANNE",NA,NA,NA,NA,NA
485,"MCLAREN, BRIAN",NA,NA,NA,NA,NA
486,"KHALIL, MUNIRA",3371,25,21,37,33
487,"PACE, AMY",143,5,5,3,3
488,"O'CONNOR, MARY",NA,NA,NA,NA,NA
489,"TZOU, CARRIE",NA,NA,NA,NA,NA
490,"CHERYAN, SAPNA",2610,21,19,25,24
491,"LERUM, KARI",476,8,8,8,8
492,"HETMANIUK, ULRICH",1118,16,12,24,15
493,"RAYNOR, DEIRDRE",NA,NA,NA,NA,NA
494,"MARTINSON, MELISSA",303,7,7,7,7
495,"PORTER, DEBORAH",NA,NA,NA,NA,NA
496,"RIGBY, JESSICA",148,4,4,4,3
497,"AW, TAR",NA,NA,NA,NA,NA
498,"NASH, LINDA",NA,NA,NA,NA,NA
499,"DIMAIO, FRANK",NA,NA,NA,NA,NA
