,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
767,"SMITH, SHOLTO",NA,NA,NA,NA,NA
768,"HARGUS, SHARON",NA,NA,NA,NA,NA
769,"NOBLE, KATHLEEN",NA,NA,NA,NA,NA
770,"ANDERSON, GAIL",6576,44,25,95,65
771,"CONNORS, CATHERINE",NA,NA,NA,NA,NA
772,"FORTNEY, JOHN",NA,NA,NA,NA,NA
773,"FRIDLEY, JAMES",NA,NA,NA,NA,NA
774,"DANIALI, SAEED",NA,NA,NA,NA,NA
775,"GRAYSON, DONALD",NA,NA,NA,NA,NA
776,"SEARS, LAURIE",NA,NA,NA,NA,NA
777,"ELWOOD-FAUSTINO, SARAH",NA,NA,NA,NA,NA
778,"GALLUCCI, VINCENT",NA,NA,NA,NA,NA
779,"LEHMAN, DAWN",2250,26,22,46,36
780,"CAVANAGH, PETER",NA,NA,NA,NA,NA
781,"SYLVESTER, JOHN",3921,24,17,33,27
782,"BAILKIN, JORDANNA",NA,NA,NA,NA,NA
783,"BREIDENTHAL, ROBERT",NA,NA,NA,NA,NA
784,"GREENBERG, RALPH",NA,NA,NA,NA,NA
785,"OVERNEY, RENE",NA,NA,NA,NA,NA
786,"LIN, ZHI",NA,NA,NA,NA,NA
787,"MERCER, JONATHAN",NA,NA,NA,NA,NA
788,"PENA, DEVON",1256,19,9,27,9
789,"PRAKASH, VIKRAMADITYA",NA,NA,NA,NA,NA
790,"GREENWALD, ANTHONY",66412,98,66,201,146
791,"HA, YONG-CHOOL",NA,NA,NA,NA,NA
792,"DARLING, ROBERT",NA,NA,NA,NA,NA
793,"NOVIK, ISABELLA",NA,NA,NA,NA,NA
794,"PRUTTI, BRIGITTE",NA,NA,NA,NA,NA
795,"GILL, ANTHONY",1696,15,11,17,11
796,"WEINSTEIN, MATTHEW",NA,NA,NA,NA,NA
797,"NURIUS, PAULA",NA,NA,NA,NA,NA
798,"PARKER, WALTER",4152,29,20,39,28
799,"LADNER, RICHARD",13623,49,28,125,64
