Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
"EAGEN, MEGHAN",22,2,2,1,1
"BUCKLEY, LAUREN",5371,31,30,52,49
"RUDELL, JACQUES",1972,14,11,20,13
"STOCCO, ANDREA",1097,16,14,18,15
"TRAXLER, BETH",NA,NA,NA,NA,NA
"WINKLER, MARIKAROLIINA",NA,NA,NA,NA,NA
"SALVIATO, MARCO",537,12,11,15,13
"WINN, MATTHEW",NA,NA,NA,NA,NA
"BEANE, SILAS",6541,52,29,88,57
"FU, KAI-MEI",2723,24,21,38,34
"KURU, SELIM",NA,NA,NA,NA,NA
"LEE, CHARLOTTE",1531,18,17,26,25
"WERTH, BRIAN",446,13,13,15,15
"WALSH, ELAINE",NA,NA,NA,NA,NA
"HSU, SHIH-CHIEH",NA,NA,NA,NA,NA
"DOSSICK, CARRIE",1016,15,14,19,17
"NARANJO, JASON",NA,NA,NA,NA,NA
"WANG, JUNLAN",NA,NA,NA,NA,NA
"BANERJEE, ASHIS",1132,14,14,17,16
"ZHENG, YING",1392,19,16,28,25
"ASAH, STANLEY",896,13,12,14,14
"BLACK, DOUGLAS",NA,NA,NA,NA,NA
"FULLER, SAWYER",1751,14,11,16,12
"HILLYARD, CINNAMON",257,8,8,8,5
"SADAK, TATIANA",NA,NA,NA,NA,NA
"KIM, DAEHYUN",2186,26,24,43,41
"TSAO, ANDREW",NA,NA,NA,NA,NA
"VAUGHAN, JOSHUA",NA,NA,NA,NA,NA
"MOORE, MEGAN",110,7,6,5,5
"LIU, QINGHANG",NA,NA,NA,NA,NA
"KIM, AMY",42,4,4,2,1
"COLLINS, STEVEN",NA,NA,NA,NA,NA
"GOMEZ, RICARDO",1636,23,16,35,25
"CHEN, QIUZI",NA,NA,NA,NA,NA
"PAPARELLA, PIETRO",43,4,4,1,1
"PATTERSON, MARK",NA,NA,NA,NA,NA
"KUNZ, WILLIAM",NA,NA,NA,NA,NA
"KIM, WOOYOUNG",NA,NA,NA,NA,NA
"CAO, HUNG",592,12,12,16,14
"DETWILER, JASON",NA,NA,NA,NA,NA
"WIEBE, RICHARD",NA,NA,NA,NA,NA
"WITHERS, SUZANNE",NA,NA,NA,NA,NA
"ZALATAN, JESSE",NA,NA,NA,NA,NA
"BUTMAN, DAVID",1883,17,16,19,19
"GARDNER, TREVOR",NA,NA,NA,NA,NA
"GERNER, MICHAEL",NA,NA,NA,NA,NA
"WILLS, ANDREA",NA,NA,NA,NA,NA
"DISTILIO, VERONICA",1665,19,14,23,19
"ISHIMARU, ANN",NA,NA,NA,NA,NA
"GU, LIANGCAI",979,17,15,17,16
"RENIERE, MICHELLE",NA,NA,NA,NA,NA
"TSAI, JENNY",NA,NA,NA,NA,NA
"RAO, ANUP",1482,19,17,26,19
"THOMPSON, RIKI",162,5,5,4,4
"BRIDGE, JOHN",NA,NA,NA,NA,NA
"CHAPMAN, RACHEL",NA,NA,NA,NA,NA
"LAING, SHARON",220,9,8,9,7
"KANTROWITZ-GORDON, IRA",618,7,7,5,5
"KRUZICH, JEAN",NA,NA,NA,NA,NA
"BUSH, MATTHEW",3554,33,24,44,40
"REYES, DAVID",NA,NA,NA,NA,NA
"SHANKAR, S",540,8,8,8,8
"BECKER, BONNIE",609,8,8,8,8
"COSSAIRT, BRANDI",NA,NA,NA,NA,NA
"BLUMENSTOCK, JOSHUA",NA,NA,NA,NA,NA
"TURNER, JACK",NA,NA,NA,NA,NA
"HOPPINS, SUZANNE",NA,NA,NA,NA,NA
"MCLAREN, BRIAN",NA,NA,NA,NA,NA
"KHALIL, MUNIRA",3371,25,21,37,33
"PACE, AMY",143,5,5,3,3
"O'CONNOR, MARY",NA,NA,NA,NA,NA
"TZOU, CARRIE",NA,NA,NA,NA,NA
"CHERYAN, SAPNA",2610,21,19,25,24
"LERUM, KARI",476,8,8,8,8
"HETMANIUK, ULRICH",1118,16,12,24,15
"RAYNOR, DEIRDRE",NA,NA,NA,NA,NA
"MARTINSON, MELISSA",303,7,7,7,7
"PORTER, DEBORAH",NA,NA,NA,NA,NA
"RIGBY, JESSICA",148,4,4,4,3
"AW, TAR",NA,NA,NA,NA,NA
"NASH, LINDA",NA,NA,NA,NA,NA
"DIMAIO, FRANK",NA,NA,NA,NA,NA
"KOLLMAN, JUSTIN",1921,18,15,20,16
"CICHOWSKI, RACHEL",NA,NA,NA,NA,NA
"VEESLER, DAVID",1387,21,21,31,29
"EISENBERG, DANIEL",1777,21,18,31,29
"UDELL, WADIYA",955,11,10,11,10
"BACCI, JENNIFER",NA,NA,NA,NA,NA
"LORETO, MILAGROS",NA,NA,NA,NA,NA
"TWEEDIE, JAMES",114,6,5,5,2
"FU, DAN",1976,22,19,28,26
"MACKENZIE, DONALD",452,9,7,9,7
"FELD, ANDREW",NA,NA,NA,NA,NA
"POPOWICS, TRACY",NA,NA,NA,NA,NA
"MILLER, DANA",430,9,7,9,7
"ROBERTS, CARLY",93,6,6,4,4
"YOUNG, JODI",959,12,12,12,12
"JOHNSON, SUSAN",694,8,7,4,4
"KELLEY, MATTHEW",74,5,5,2,2
"FRANCIS, MEGAN",NA,NA,NA,NA,NA
"LANDIS, ANDREA",NA,NA,NA,NA,NA
"GAWEL, JAMES",327,10,7,10,3
"JUNG, MOON-HO",NA,NA,NA,NA,NA
"PRUGH, LAURA",1984,18,15,20,20
"AU, WAYNE",14957,63,43,250,179
"TOBIN, PATRICK",2845,28,22,62,43
"MACK, EDWARD",NA,NA,NA,NA,NA
"VARGHESE, MANKA",1667,15,13,20,16
"CARLISLE, SHAUNA",NA,NA,NA,NA,NA
"SHLIZERMAN, ELI",415,12,10,14,11
"TANG, HSIN-YI",NA,NA,NA,NA,NA
"WHITING, SUSAN",1378,11,7,15,6
"KWON, YOUNG",934,13,11,13,11
"RYBKA, GRAY",NA,NA,NA,NA,NA
"TAYLOR, KATHERINE",NA,NA,NA,NA,NA
"SUN, MIN",8864,49,25,143,62
"MUDZIMIRI, REJOICE",NA,NA,NA,NA,NA
"SHENG, JIE",NA,NA,NA,NA,NA
"MEEKER, KATHLEEN",323,8,8,8,8
