,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
2135,"DUBENION-SMITH, SHANNON",NA,NA,NA,NA,NA
2136,"DUBENION-SMITH, SHANNON",NA,NA,NA,NA,NA
2137,"DUDENBOSTEL, RYAN",NA,NA,NA,NA,NA
2138,"DUGMORE, WILLIAM",NA,NA,NA,NA,NA
2139,"DUNN, CRAIG",1147,14,11,14,11
2140,"DUPONT, BRANDON",269,7,6,6,4
2141,"DUPONT, BRANDON",269,7,6,6,4
2142,"DURFEE, JASON",NA,NA,NA,NA,NA
2143,"DURHAM, YVONNE",NA,NA,NA,NA,NA
2144,"DURHAM, YVONNE",NA,NA,NA,NA,NA
2145,"DURHAM, YVONNE",NA,NA,NA,NA,NA
2146,"DUTTA, PRASHANTA",3129,31,24,59,47
2147,"DVORAK, ANNA",NA,NA,NA,NA,NA
2148,"EAGLE, DAVID",NA,NA,NA,NA,NA
2149,"EASLEY, ROXANNE",NA,NA,NA,NA,NA
2150,"EATON, MARIE",NA,NA,NA,NA,NA
2151,"EBLEN, ANNA",NA,NA,NA,NA,NA
2152,"EDWARDS, ZENA",NA,NA,NA,NA,NA
2153,"EGGER, ANNE",NA,NA,NA,NA,NA
2154,"EHOFF, CLEMENSE",NA,NA,NA,NA,NA
2155,"EKLUND, ANDREA",NA,NA,NA,NA,NA
2156,"EL-ALAYLI, AMANI",348,8,7,8,6
2157,"ELLIS, JOAN",220,5,5,4,3
2158,"ELLSWORTH, JANE",NA,NA,NA,NA,NA
2159,"EMORY, STEVEN",NA,NA,NA,NA,NA
2160,"ENGEBRETSON, DAVID",NA,NA,NA,NA,NA
2161,"ENGELS, PETER",NA,NA,NA,NA,NA
2162,"ENGLUND, TIMOTHY",NA,NA,NA,NA,NA
2163,"ESPINOLA-ARREDONDO, ANA",165,8,7,6,5
2164,"ESTRADA, LAWRENCE",NA,NA,NA,NA,NA
2165,"ESTRADA, LAWRENCE",NA,NA,NA,NA,NA
2166,"EURICH, SUSAN",NA,NA,NA,NA,NA
