,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
271,"VERVOORT, JEFFREY",11484,46,40,116,96
272,"COUSINS, ASAPH",2191,27,21,40,38
273,"TROBRIDGE, GRANT",NA,NA,NA,NA,NA
274,"WISOR, JONATHAN",NA,NA,NA,NA,NA
275,"INGERMANN, BARBARA",NA,NA,NA,NA,NA
276,"ESPINOLA-ARREDONDO, ANA",165,8,7,6,5
277,"LATHAM, CLAIRE",363,10,8,11,6
278,"GANJYAL, GIRISH",556,13,11,15,12
279,"BARTEL, KIMBERLEE",NA,NA,NA,NA,NA
280,"GUPTA, SUBHANSHU",161,7,5,3,2
281,"OSMAN, MOHAMED",1595,18,9,28,8
282,"KARKEE, MANOJ",683,15,15,21,20
283,"NICOLA, ANTHONY",NA,NA,NA,NA,NA
284,"GREENBERG, ROBERT",NA,NA,NA,NA,NA
285,"GREENE, STEPHEN",NA,NA,NA,NA,NA
286,"ROSSI, DAVID",4130,22,16,28,24
287,"CARROLL, MATTHEW",4172,30,21,60,42
288,"IMAMURA, KOSUKE",NA,NA,NA,NA,NA
289,"MCNEAL, JENI",NA,NA,NA,NA,NA
290,"BIRCH, NANCY",NA,NA,NA,NA,NA
291,"HUDSON, SCOTT",2862,27,17,38,20
292,"ZHAO, FENG",NA,NA,NA,NA,NA
293,"CRAFT, REBECCA",NA,NA,NA,NA,NA
294,"HEDRICK, DAVID",NA,NA,NA,NA,NA
295,"KIM, HYUN",3236,19,19,24,23
296,"PETERSON, KIRK",24321,67,40,208,136
297,"LI, ALEXANDER",NA,NA,NA,NA,NA
298,"GHASEMZADEH, HASSAN",1594,23,19,48,40
299,"EDDY, LINDA",NA,NA,NA,NA,NA
